constructorId,constructorRef,name,nationality,url,Probability,,,,,
32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,#N/A,,,,,
33,larrousse,Larrousse,French,http://en.wikipedia.org/wiki/Larrousse,#N/A,,,,,
34,brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham,#N/A,,,,,
35,dallara,Dallara,Italian,http://en.wikipedia.org/wiki/Dallara,#N/A,,,,,
36,fondmetal,Fondmetal,Italian,http://en.wikipedia.org/wiki/Fondmetal,#N/A,,,,,
37,march,March,British,http://en.wikipedia.org/wiki/March_Engineering,#N/A,,,,,
38,moda,Andrea Moda,Italian,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,#N/A,,,,,
39,ags,AGS,French,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,#N/A,,,,,
40,lambo,Lambo,Italian,http://en.wikipedia.org/wiki/Modena_(racing_team),#N/A,,,,,
41,leyton,Leyton House,British,http://en.wikipedia.org/wiki/Leyton_House,#N/A,,,,,
42,coloni,Coloni,Italian,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,#N/A,,,,,
44,eurobrun,Euro Brun,Italian,http://en.wikipedia.org/wiki/Euro_Brun,#N/A,,,,,
45,osella,Osella,Italian,http://en.wikipedia.org/wiki/Osella,#N/A,,,,,
46,onyx,Onyx,British,http://en.wikipedia.org/wiki/Onyx_(racing_team),#N/A,,,,,
47,life,Life,Italian,http://en.wikipedia.org/wiki/Life_(Racing_Team),#N/A,,,,,
48,rial,Rial,German,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,#N/A,,,,,
49,zakspeed,Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed,#N/A,,,,,
50,ram,RAM,British,http://en.wikipedia.org/wiki/RAM_Racing,#N/A,,,,,
51,alfa,Alfa Romeo,Italian,http://en.wikipedia.org/wiki/Alfa_Romeo_(Formula_One),#N/A,,,,,
52,spirit,Spirit,British,http://en.wikipedia.org/wiki/Spirit_(racing_team),#N/A,,,,,
53,toleman,Toleman,British,http://en.wikipedia.org/wiki/Toleman,#N/A,,,,,
54,ats,ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels),#N/A,,,,,
55,theodore,Theodore,Hong Kong,http://en.wikipedia.org/wiki/Theodore_Racing,#N/A,,,,,
56,fittipaldi,Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,#N/A,,,,,
57,ensign,Ensign,British,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,#N/A,,,,,
58,shadow,Shadow,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,#N/A,,,,,
59,wolf,Wolf,Canadian,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,#N/A,,,,,
60,merzario,Merzario,Italian,http://en.wikipedia.org/wiki/Merzario,#N/A,,,,,
61,kauhsen,Kauhsen,German,http://en.wikipedia.org/wiki/Kauhsen,#N/A,,,,,
62,rebaque,Rebaque,Mexican,http://en.wikipedia.org/wiki/Rebaque,#N/A,,,,,
63,surtees,Surtees,British,http://en.wikipedia.org/wiki/Surtees,#N/A,,,,,
64,hesketh,Hesketh,British,http://en.wikipedia.org/wiki/Hesketh_Racing,#N/A,,,,,
65,martini,Martini,French,http://en.wikipedia.org/wiki/Martini_(cars),#N/A,,,,,
66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,#N/A,,,,,
67,penske,Penske,American,http://en.wikipedia.org/wiki/Penske_Racing,#N/A,,,,,
68,lec,LEC,British,http://en.wikipedia.org/wiki/LEC_(Formula_One),#N/A,,,,,
69,mcguire,McGuire,Australian,http://en.wikipedia.org/wiki/McGuire_(Formula_One),#N/A,,,,,
70,boro,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One),#N/A,,,,,
71,apollon,Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One),#N/A,,,,,
72,kojima,Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering,#N/A,,,,,
73,parnelli,Parnelli,American,http://en.wikipedia.org/wiki/Parnelli,#N/A,,,,,
74,maki,Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars),#N/A,,,,,
75,hill,Embassy Hill,British,http://en.wikipedia.org/wiki/Hill_(constructor),#N/A,,,,,
76,lyncar,Lyncar,British,http://en.wikipedia.org/wiki/Lyncar,#N/A,,,,,
77,trojan,Trojan,British,http://en.wikipedia.org/wiki/Trojan_(Racing_team),#N/A,,,,,
78,amon,Amon,New Zealand,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),#N/A,,,,,
79,token,Token,British,http://en.wikipedia.org/wiki/Token_(Racing_team),#N/A,,,,,
80,iso_marlboro,Iso Marlboro,British,http://en.wikipedia.org/wiki/Iso_Marlboro,#N/A,,,,,
81,tecno,Tecno,Italian,http://en.wikipedia.org/wiki/Tecno,#N/A,,,,,
82,matra,Matra,French,http://en.wikipedia.org/wiki/Matra,#N/A,,,,,
83,politoys,Politoys,British,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,#N/A,,,,,
84,connew,Connew,British,http://en.wikipedia.org/wiki/Connew,#N/A,,,,,
85,bellasi,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi,#N/A,,,,,
86,tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#N/A,,,,,
87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#N/A,,,,,
88,eagle,Eagle,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,#N/A,,,,,
89,lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile),#N/A,,,,,
90,protos,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor),#N/A,,,,,
91,shannon,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One),#N/A,,,,,
92,scirocco,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell,#N/A,,,,,
93,re,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29,#N/A,,,,,
94,brp,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership,#N/A,,,,,
95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,#N/A,,,,,
96,derrington,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis,#N/A,,,,,
97,gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby,#N/A,,,,,
98,stebro,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro,#N/A,,,,,
99,emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson,#N/A,,,,,
100,enb,ENB,Belgium,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,#N/A,,,,,
101,jbw,JBW,British,http://en.wikipedia.org/wiki/JBW,#N/A,,,,,
102,ferguson,Ferguson,British,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,#N/A,,,,,
103,mbm,MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,#N/A,,,,,
104,behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche,#N/A,,,,,
105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,#N/A,,,,,
106,scarab,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor),#N/A,,,,,
107,watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson,#N/A,,,,,
108,epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly,#N/A,,,,,
109,phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor),#N/A,,,,,
110,lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky,#N/A,,,,,
111,trevis,Trevis,American,http://en.wikipedia.org/wiki/Trevis,#N/A,,,,,
112,meskowski,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski,#N/A,,,,,
113,kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft,#N/A,,,,,
114,kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor),#N/A,,,,,
115,vhristensen,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor),#N/A,,,,,
116,ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor),#N/A,,,,,
117,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin,#N/A,,,,,
118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,#N/A,,,,,
119,moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor),#N/A,,,,,
120,dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering,#N/A,,,,,
121,elder,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor),#N/A,,,,,
122,sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor),#N/A,,,,,
123,fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team),#N/A,,,,,
124,tec-mec,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec,#N/A,,,,,
125,connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering,#N/A,,,,,
126,alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team,#N/A,,,,,
127,osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,#N/A,,,,,
128,gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini,#N/A,,,,,
129,stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor),#N/A,,,,,
130,bugatti,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti,#N/A,,,,,
131,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,1,,,,,
132,lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,#N/A,,,,,
133,hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,#N/A,,,,,
134,schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor),#N/A,,,,,
135,pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor),#N/A,,,,,
136,pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz,#N/A,,,,,
137,arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini,#N/A,,,,,
138,nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels,#N/A,,,,,
139,bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme,#N/A,,,,,
140,klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk,#N/A,,,,,
141,simca,Simca,French,http://en.wikipedia.org/wiki/Simca,#N/A,,,,,
142,turner,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor),#N/A,,,,,
143,del_roy,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy,#N/A,,,,,
144,veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor),#N/A,,,,,
145,bmw,BMW,German,http://en.wikipedia.org/wiki/BMW,0.5,,,,,
146,emw,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,#N/A,,,,,
147,afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,#N/A,,,,,
148,frazer_nash,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash,#N/A,,,,,
149,sherman,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor),#N/A,,,,,
150,deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt,#N/A,,,,,
151,era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles,#N/A,,,,,
152,butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth,#N/A,,,,,
153,cisitalia,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia,#N/A,,,,,
154,lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago,#N/A,,,,,
155,hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor),#N/A,,,,,
156,marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor),#N/A,,,,,
157,langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor),#N/A,,,,,
158,rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport),#N/A,,,,,
159,olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor),#N/A,,,,,
160,wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth,#N/A,,,,,
161,adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor),#N/A,,,,,
162,snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger,#N/A,,,,,
163,milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano,#N/A,,,,,
164,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing,0.5,,,,,
167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#N/A,,,,,
166,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing,0.5,,,,,
168,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#N/A,,,,,
169,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#N/A,,,,,
170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#N/A,,,,,
171,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#N/A,,,,,
172,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus,#N/A,,,,,
173,lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus,#N/A,,,,,
174,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#N/A,,,,,
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#N/A,,,,,
176,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus,#N/A,,,,,
177,lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus,#N/A,,,,,
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#N/A,,,,,
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#N/A,,,,,
180,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus,#N/A,,,,,
181,brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham,#N/A,,,,,
182,brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham,#N/A,,,,,
183,brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham,#N/A,,,,,
184,lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile),#N/A,,,,,
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile),#N/A,,,,,
186,cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#N/A,,,,,
187,mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren,#N/A,,,,,
188,mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren,#N/A,,,,,
189,eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,#N/A,,,,,
190,eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,#N/A,,,,,
191,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham,#N/A,,,,,
192,cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#N/A,,,,,
193,cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#N/A,,,,,
194,mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing),#N/A,,,,,
195,cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#N/A,,,,,
196,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra,#N/A,,,,,
197,brm-ford,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM,#N/A,,,,,
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing),#N/A,,,,,
199,march-alfa_romeo,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering,#N/A,,,,,
200,march-ford,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering,#N/A,,,,,
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus,#N/A,,,,,
202,shadow-ford,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,#N/A,,,,,
203,shadow-matra,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,#N/A,,,,,
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham,#N/A,,,,,
205,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing,#N/A,,,,,
206,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1,0.5,,,,,
207,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1,0.5,,,,,
208,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1,#N/A,,,,,
209,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport,#N/A,,,,,
210,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team,0.5,,,,,
